",""IMDB_ID"",""MOVIELENS_ID"",""TITLE"",""GENRES_CODE"",""YEAR"",""LENGTH"",""POSTER"",""YOU_TUBE_ID"",""IMDB_RATING"",""IMDB_VOTES"",""f1"",""f2"",""f4"",""f6"""
"12,""tt0118040"",103,""Unforgettable"",""0000000000000101100"",1996,""117 min"",""MV5BMjE4MjA4MzIxMV5BMl5BanBnXkFtZTcwMTg3Mjg3NA@@._V1_SX300.jpg"",""PZAblFmjZd8"",6,3864,0.403990396169,0.561158213399,0.711374904956,0.49308627707"
"13,""tt0116483"",104,""Happy Gilmore"",""0000100000000000000"",1996,""92 min"",""MV5BMjA4NjUxODg3Ml5BMl5BanBnXkFtZTcwNzcyODc5Mw@@._V1_SX300.jpg"",""y1emDAYCfVQ"",7,150631,0.694012439272,0.673483718258,0.7531258215,0.523226143745"
"14,""tt0112579"",105,""The Bridges of Madison County"",""0000000100000010000"",1995,""135 min"",""MV5BMTI0MDkxMzA2NF5BMl5BanBnXkFtZTYwNjIxMDI5._V1_SX300.jpg"",""Up-oN4NtvbM"",7.5,53261,0.663004647651,0.628036635971,0.581881705022,0.451349620691"
"15,""tt0117110"",107,""Muppet Treasure Island"",""0101100000001000000"",1996,""99 min"",""MV5BMTY0NDU1MDYxMl5BMl5BanBnXkFtZTcwNjgyMTEzMQ@@._V1_SX300.jpg"",""KLUdKoCganU"",6.9,15483,0.669063831056,0.564780538866,0.71139742461,0.514513358483"
"16,""tt0075314"",111,""Taxi Driver"",""0000010100000000100"",1976,""113 min"",""MV5BMTQ1Nzg3MDQwN15BMl5BanBnXkFtZTcwNDE2NDU2MQ@@._V1_SX300.jpg"",""cujiHDeqnHY"",8.3,484769,0.749264914827,0.577979919907,0.548696750491,0.524412324286"
"17,""tt0115645"",113,""Before and After"",""0000000100000100000"",1996,""108 min"",""MV5BMTgwODk4NDkzNF5BMl5BanBnXkFtZTcwMjA0MjUyMQ@@._V1_SX300.jpg"",""KRrUiYxr5dc"",6.1,6503,0.846983823446,0.564923798676,0.556964072801,0.508473585012"
"18,""tt0113774"",114,""Margaret's Museum"",""0000000100000000000"",1995,""114 min"",""MV5BMTc3NjY0Mjk4MV5BMl5BanBnXkFtZTcwNTAzMzUyMQ@@._V1_SX300.jpg"",""S82xxKIURF4"",7.3,1189,0.64932707502,0.533490045447,0.772553278934,0.399307756544"
"19,""tt0112373"",116,""Anne Frank Remembered"",""0000001000000000000"",1995,""122 min"",""MV5BNTMyOTkxMzA5N15BMl5BanBnXkFtZTcwNjU3MTUyMQ@@._V1_SX300.jpg"",""HFMnh-n7U7w"",8.2,783,0.761881940073,0.530455820467,0.535817146145,0.3774107369"
"20,""tt0115033"",117,""The Young Poisoner's Handbook"",""0000010100000000000"",1995,""99 min"",""MV5BMTg0MTE5OTMzNV5BMl5BanBnXkFtZTcwMDM0MzkzMQ@@._V1_SX300.jpg"",""N7_e79Ik3Vs"",7.1,2982,0.701126446174,0.531687952087,0.73070067543,0.383316390979"
"21,""tt0116606"",118,""If Lucy Fell"",""0000100000000010000"",1996,""92 min"",""MV5BMTIyNjYyMjIyMV5BMl5BanBnXkFtZTcwNzE4OTUxMQ@@._V1_SX300.jpg"",""mok43U9zy4s"",4.9,3332,0.683161328041,0.618841858835,0.632465740192,0.531809025137"
"22,""tt0117427"",120,""Race the Sun"",""0100100100000000000"",1996,""100 min"",""MV5BMTc3NzgzMzgxNF5BMl5BanBnXkFtZTcwNzMyMzUyMQ@@._V1_SX300.jpg"",""tZ1CGEFd6kw"",5.3,2552,0.666105220196,0.662121104332,0.693701510548,0.52741404292"
"23,""tt0106473"",121,""The Boys of St. Vincent"",""0000000100000000000"",1992,""93 min"",""MV5BMjE3NjM3NDQ0M15BMl5BanBnXkFtZTcwNzEwNjMyMQ@@._V1_SX300.jpg"",""pbRPPtpZTo0"",7.8,1166,0.744644613565,0.649897778293,0.68663262033,0.498766741561"
"24,""tt0103859"",122,""Boomerang"",""0000100000000010000"",1992,""117 min"",""MV5BMTg1NTk3NTkzNl5BMl5BanBnXkFtZTcwNTk4MjAzMQ@@._V1_SX300.jpg"",""YXzHiBNgsGY"",5.4,19684,0.751621797365,0.657713199788,0.625129579824,0.537410000395"
"25,""tt0109424"",123,""Chungking Express"",""0000000100000110000"",1994,""102 min"",""MV5BMjA5MTc3NDE2MV5BMl5BanBnXkFtZTcwMDM5MTk5MQ@@._V1_SX300.jpg"",""Bjd7PFf_TFw"",8.1,38919,0.608172350251,0.545257280375,0.790996661236,0.637721683329"
"26,""tt0114808"",124,""The Star Maker"",""0000000100000000000"",1995,""113 min"",""MV5BMjE0MTE1ODI3MF5BMl5BanBnXkFtZTcwMTMwMTkxMQ@@._V1_SX300.jpg"",""E-nobSjzItA"",7.3,3624,0.534692974734,0.669322388143,0.672919254094,0.422340055915"
"27,""tt0116324"",125,""Flirting with Disaster"",""0000100000000000000"",1996,""92 min"",""MV5BMTI5NDY1Nzk1OV5BMl5BanBnXkFtZTcwMDE5OTUyMQ@@._V1_SX300.jpg"",""RZDiNOV0q-g"",6.8,14792,0.685306356366,0.668785541851,0.55060793123,0.444160217705"
"30,""tt0113451"",132,""Jade"",""0000000000000000100"",1995,""95 min"",""MV5BMTI1NzI3MTQ2Nl5BMl5BanBnXkFtZTYwNzM5NDQ5._V1_SX300.jpg"",""tf60cQYYPik"",5.1,8971,0.558296857527,0.737266078959,0.720423468438,0.562916139846"
"32,""tt0116130"",135,""Down Periscope"",""0000100000000000000"",1996,""92 min"",""MV5BMjA0NTE0ODE0Ml5BMl5BanBnXkFtZTcwNjMxMzUyMQ@@._V1_SX300.jpg"",""pjyjP5h6PjI"",6,16562,0.653165762762,0.770620716687,0.808812784993,0.655962278697"
"33,""tt0113756"",137,""Man of the Year"",""0000001000000000000"",1995,""86 min"",""MV5BMjY3MjczMjQwMV5BMl5BanBnXkFtZTcwNDM3OTEzMQ@@._V1_SX300.jpg"",""Mj9SUJdpJS4"",6.1,297,0.4867345309,0.65704558046,0.779679376909,0.876690119808"
"34,""tt0113952"",138,""The Neon Bible"",""0000000100000000000"",1995,""91 min"",""MV5BNzg1MzgyMDUyNl5BMl5BanBnXkFtZTcwNTk5MjcyMQ@@._V1_SX300.jpg"",""B1zmUgifk9I"",6.1,596,0.716201375643,0.672140634622,0.928937832516,0.875429096908"
"36,""tt0118055"",140,""Up Close & Personal"",""0000000100000010000"",1996,""124 min"",""MV5BODQ1NDAyMTExMV5BMl5BanBnXkFtZTcwNDIwMDIyMQ@@._V1_SX300.jpg"",""7uGVPYDtrQo"",6.1,11125,0.529354703214,0.54735559448,0.568512005614,0.498963044623"
"37,""tt0115685"",141,""The Birdcage"",""0000100000000000000"",1996,""117 min"",""MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_SX300.jpg"",""MxfXR1zSj1k"",7,60946,0.764923448367,0.552427398912,0.650399273834,0.511468468054"
"38,""tt0112585"",144,""The Brothers McMullen"",""0000100000000000000"",1995,""98 min"",""MV5BMTIwODk3MDU5N15BMl5BanBnXkFtZTcwMTE2NTYyMQ@@._V1_SX300.jpg"",""XJwLBdjEerE"",6.6,6260,0.728640290031,0.764609909722,0.618171312456,0.602099177395"
"39,""tt0112461"",147,""The Basketball Diaries"",""0000000100000000000"",1995,""102 min"",""MV5BNDY3MDMyNzE1N15BMl5BanBnXkFtZTcwOTg1MTcyNA@@._V1_SX300.jpg"",""NyfX9UHyxgY"",7.3,78055,0.748774089673,0.601547060587,0.660189099154,0.536416179933"
"40,""tt0112427"",148,""An Awfully Big Adventure"",""0000000100000000000"",1995,""112 min"",""MV5BMTI0NzUwMzM1NF5BMl5BanBnXkFtZTcwNDc5ODgyMQ@@._V1_SX300.jpg"",""HPBkA3GuvcY"",6.1,2085,0.7164664643,0.57700016006,0.452712502508,0.566351092711"
"41,""tt0109093"",149,""Amateur"",""0000010100000000100"",1994,""105 min"",""MV5BMTIwNzE5OTkxMV5BMl5BanBnXkFtZTcwMzIxMjAwMQ@@._V1_SX300.jpg"",""GLhu37ozFx8"",7,4445,0.739314385565,0.627906259788,0.799098792458,0.541157550337"
"42,""tt0112384"",150,""Apollo 13"",""0100000100010000000"",1995,""140 min"",""MV5BMmIyM2Y2NTQtZWM4ZC00YjFjLWFhMjgtNzNkOTQ0OGZlMTNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg"",""fuRZcZ4kW-Y"",7.6,203181,0.724536581096,0.586265040102,0.765462950218,0.562049929683"
"43,""tt0114287"",151,""Rob Roy"",""1000000100000010010"",1995,""139 min"",""MV5BMjE2NTU2ODI0MV5BMl5BanBnXkFtZTcwNTIwODU2NA@@._V1_SX300.jpg"",""JuGT5duwCH4"",6.9,33879,0.443435186385,0.564167895958,0.550250880161,0.723943359357"
"44,""tt0112288"",152,""The Addiction"",""0000000100100000000"",1995,""82 min"",""MV5BMTM2MjA5MTk3OV5BMl5BanBnXkFtZTcwMDc2ODkxMQ@@._V1_SX300.jpg"",""4LErjzY_wKI"",6.4,6464,0.589093964035,0.505302082065,0.656455365182,0.650277167977"
"45,""tt0112462"",153,""Batman Forever"",""1100110000000000000"",1995,""121 min"",""MV5BMjAwOTEyNjg0M15BMl5BanBnXkFtZTYwODQyMTI5._V1_SX300.jpg"",""ROLvjRB4E_Q"",5.4,184181,0.591896344921,0.659463167921,0.500192508369,0.702031912696"
"46,""tt0061395"",154,""Belle de Jour"",""0000000100000000000"",1967,""101 min"",""MV5BMTMyMjUyNDY5MV5BMl5BanBnXkFtZTcwMzMxNDkxMQ@@._V1_SX300.jpg"",""vKXLtgDPTc4"",7.8,28125,0.791515294542,0.641205028015,0.70364808443,0.72849842877"
"47,""tt0112495"",155,""Beyond Rangoon"",""0100000100000000010"",1995,""100 min"",""MV5BMTQwODgxMTA1NV5BMl5BanBnXkFtZTcwNzg0MTgyMQ@@._V1_SX300.jpg"",""Ow_yBFgyUvQ"",6.6,4089,0.772605844997,0.679828691206,0.693686220742,0.713973243468"
"48,""tt0109370"",157,""Canadian Bacon"",""0000100000000000010"",1995,""91 min"",""MV5BMTUwNDU0NzcwMl5BMl5BanBnXkFtZTcwNzk1NjAzNA@@._V1_SX300.jpg"",""4jf8Bt4gD9Y"",5.9,13453,0.691887717551,0.545139760299,0.639267421906,0.656997046592"
"49,""tt0112642"",158,""Casper"",""0101000000000000000"",1995,""100 min"",""MV5BMTk1NTYxMzU0OV5BMl5BanBnXkFtZTcwMzU1NzQyMQ@@._V1_SX300.jpg"",""BBEB9OSfeCA"",6,82442,0.732119155843,0.540698042536,0.500065876981,0.659026375913"
"50,""tt0112740"",161,""Crimson Tide"",""0000000100000000110"",1995,""116 min"",""MV5BMjIyOTgzNTE5OF5BMl5BanBnXkFtZTgwODA2NDkyMTE@._V1_SX300.jpg"",""iS4I2Z1RBIw"",7.3,78564,0.532195272116,0.611816387564,0.381791668004,0.675186805031"
"51,""tt0112851"",163,""Desperado"",""1000000000000010001"",1995,""104 min"",""MV5BMjM0MDQ5NTc3N15BMl5BanBnXkFtZTgwMzQxNzQxMTE@._V1_SX300.jpg"",""EolXwy6P25g"",7.2,135409,0.591407428079,0.65074185716,0.609065483172,0.742506381773"
"52,""tt0112857"",164,""Devil in a Blue Dress"",""0000010001000100100"",1995,""102 min"",""MV5BMTQyNTA0ODIzOV5BMl5BanBnXkFtZTcwMzg2ODUxMQ@@._V1_SX300.jpg"",""E05NNhFo2Ec"",6.7,12879,0.564645000749,0.75207362817,0.525283698538,0.787564733979"
"53,""tt0112864"",165,""Die Hard: With a Vengeance"",""1000010000000000100"",1995,""128 min"",""MV5BOTgyNDM4Mjg0OF5BMl5BanBnXkFtZTcwMjQxNTEzMQ@@._V1_SX300.jpg"",""PyxwLcq9H6g"",7.6,291181,0.507313733162,0.67634903085,0.855727644022,0.745521019642"
"54,""tt0112887"",166,""The Doom Generation"",""0000110100000000000"",1995,""83 min"",""MV5BMTgxNTIxNjgyOF5BMl5BanBnXkFtZTcwNjc2MzE3MQ@@._V1_SX300.jpg"",""agRzpnS_FGw"",5.9,11099,0.524573897539,0.675788381369,0.720118607553,0.64149141679"
"55,""tt0113481"",172,""Johnny Mnemonic"",""1000000000000001100"",1995,""96 min"",""MV5BMjg5ODYwNjU2Ml5BMl5BanBnXkFtZTcwOTAwNDI4OA@@._V1_SX300.jpg"",""U_8BVWHSU_o"",5.6,55329,0.509090486558,0.561297388843,0.743731082742,0.775058336991"
"56,""tt0113500"",174,""Jury Duty"",""0000100000000000000"",1995,""88 min"",""MV5BMTI4NTcyNjU1NF5BMl5BanBnXkFtZTcwNjk4MzQyMQ@@._V1_SX300.jpg"",""A39yUsdlzKk"",4,6111,0.613142776144,0.568529399783,0.754203549266,0.775295469388"
"57,""tt0107447"",178,""Love & Human Remains"",""0000100100000000000"",1993,""100 min"",""MV5BMTcxMzQ2OTk5OF5BMl5BanBnXkFtZTcwMDUxNDMzMQ@@._V1_SX300.jpg"",""_1cjHboN8Mw"",6.8,2167,0.527932914083,0.63144476868,0.565778676491,0.760315472195"
"59,""tt0113749"",180,""Mallrats"",""0000100000000010000"",1995,""94 min"",""MV5BMTE5OTkxOTI1Ml5BMl5BanBnXkFtZTcwNjk2MTEzMQ@@._V1_SX300.jpg"",""eOd5zJLsZEc"",7.2,97196,0.655233962661,0.583445226473,0.837808057437,0.769135735929"
"60,""tt0113820"",181,""Mighty Morphin Power Rangers: The Movie"",""1001000000000000000"",1995,""95 min"",""MV5BMTc3NDc4MjU2NV5BMl5BanBnXkFtZTcwNzY4NjUyMQ@@._V1_SX300.jpg"",""uF_kM1DLo-g"",5,18490,0.535940713175,0.826005209588,0.860987582891,0.865138162627"
"62,""tt0113957"",185,""The Net"",""1000010000000000100"",1995,""114 min"",""MV5BMTU0NjA2NzIwOF5BMl5BanBnXkFtZTYwNTExNTg4._V1_SX300.jpg"",""46qKHq7REI4"",5.8,47823,0.547641245609,0.752330514367,0.729582601387,0.863821617537"
"63,""tt0113986"",186,""Nine Months"",""0000100000000010000"",1995,""103 min"",""MV5BMTg5NzYwMTkwNF5BMl5BanBnXkFtZTcwNTMxMzUyMQ@@._V1_SX300.jpg"",""zniGp2ELuwY"",5.4,29126,0.696222800912,0.747388924834,0.529528875496,0.860071604884"
"64,""tt0114095"",187,""Party Girl"",""0000100000000000000"",1995,""94 min"",""MV5BMTQ0MTE0NTQxMV5BMl5BanBnXkFtZTcwMDQ2NjkyMQ@@._V1_SX300.jpg"",""B9tshSME0WQ"",6.6,3551,0.683244952701,0.749064893096,0.534566765283,0.846052645999"
"65,""tt0114241"",189,""Reckless"",""0000100010000000000"",1995,""91 min"",""MV5BMTk4ODEzNDktM2U1ZC00MjhiLWEyMTgtNmI2NGM0ZWE3MTE2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg"",""uUg76lizbSA"",5,371,0.597764541795,0.739522021948,0.494212717309,0.726373182728"
"66,""tt0114345"",191,""The Scarlet Letter"",""0000000100000010000"",1995,""135 min"",""MV5BMTk4MTg0NzMxMV5BMl5BanBnXkFtZTcwMDc4ODUyMQ@@._V1_SX300.jpg"",""sIo0R6FFf9I"",5.1,11832,0.614725845526,0.750843895862,0.521544964134,0.70859346581"
"67,""tt0114496"",195,""Something to Talk About"",""0000100100000010000"",1995,""106 min"",""MV5BMTIzOTczNTM1MF5BMl5BanBnXkFtZTcwMDM5MDMyMQ@@._V1_SX300.jpg"",""Ips5sn78pdI"",5.7,10161,0.695598563532,0.750746413516,0.578960286356,0.689686438022"
"68,""tt0114508"",196,""Species"",""0000000000100001000"",1995,""108 min"",""MV5BMjMyNTE0ODUzOF5BMl5BanBnXkFtZTcwNjY5NTk1NA@@._V1_SX300.jpg"",""3uzbE3T-gbM"",5.8,59541,0.478991677663,0.57356647395,0.606299770779,0.490617741156"
"69,""tt0114534"",197,""The Stars Fell on Henrietta"",""0000000100000000000"",1995,""109 min"",""MV5BMTU4NTYzMzIzMF5BMl5BanBnXkFtZTcwODk4MTkxMQ@@._V1_SX300.jpg"",""8pe6zm3tdHk"",6.5,617,0.568844026732,0.630940293086,0.603818276366,0.527747926504"
"70,""tt0114558"",198,""Strange Days"",""1000010100000101100"",1995,""145 min"",""MV5BMTQxMzk0NTQ4Ml5BMl5BanBnXkFtZTgwNjY0MDQ1MDE@._V1_SX300.jpg"",""5yaXPx6xWEQ"",7.2,53059,0.486615417189,0.713928072645,0.71284508673,0.656968426679"
"71,""tt0058450"",199,""The Umbrellas of Cherbourg"",""0000000100001010000"",1964,""91 min"",""MV5BMjE5NzQ2NTQ5OF5BMl5BanBnXkFtZTgwMzYyNTM3MjE@._V1_SX300.jpg"",""PZo5DGZwRmg"",7.8,14554,0.714958983947,0.633931756726,0.595065709776,0.557614415804"
"72,""tt0114663"",201,""Three Wishes"",""0000000110000000000"",1995,""115 min"",""MV5BMTYzMTYxODc2N15BMl5BanBnXkFtZTcwMTMzNjAwMQ@@._V1_SX300.jpg"",""hQR4_rT0qB4"",6.1,2108,0.612138803792,0.644797157556,0.693064732155,0.600017665635"
"73,""tt0114781"",204,""Under Siege 2: Dark Territory"",""1000000000000000000"",1995,""100 min"",""MV5BMmUxMDE0MTItMTRiMC00YzgwLTkwODItN2FkOTQ0MjNhY2QwXkEyXkFqcGdeQXVyMDEwMjgxNg@@._V1_SX300.jpg"",""FDo8HDsoqO0"",5.4,35069,0.507579957069,0.764783504403,0.824418310935,0.594975151618"
"74,""tt0114798"",205,""Unstrung Heroes"",""0000100100000000000"",1995,""93 min"",""MV5BMTY1ODY5NDUzMl5BMl5BanBnXkFtZTcwNDgwNjUyMQ@@._V1_SX300.jpg"",""sth8EmI2y6g"",6.8,2682,0.739882391093,0.763722603904,0.548598282692,0.615647085191"
"75,""tt0114805"",206,""Unzipped"",""0000001000000000000"",1995,""73 min"",""MV5BMjAwODIwMTk2Nl5BMl5BanBnXkFtZTcwMzA4NDUyMQ@@._V1_SX300.jpg"",""irIUyh38WFw"",6.4,894,0.537832203,0.375044736453,0.698343395607,0.62486965602"
"76,""tt0114887"",207,""A Walk in the Clouds"",""0000000100000010000"",1995,""102 min"",""MV5BNjg3OTQzOTM5MF5BMl5BanBnXkFtZTYwNTY5NzY5._V1_SX300.jpg"",""cULvtpaIK9I"",6.6,24011,0.67571043303,0.456788958367,0.67772406763,0.638526409687"
"77,""tt0114928"",209,""White Man's Burden"",""0000000100000000000"",1995,""89 min"",""MV5BMTI2ODY1ODcwMl5BMl5BanBnXkFtZTcwNzYzNzUxMQ@@._V1_SX300.jpg"",""cYAJ-AqH7Ro"",5.2,3901,0.666257638838,0.650565950605,0.473747085762,0.742955937488"
"79,""tt0110882"",214,""Before the Rain"",""0000000100000000010"",1994,""113 min"",""MV5BMTM3MzAwMzc1N15BMl5BanBnXkFtZTcwMjA4NjA3MQ@@._V1_SX300.jpg"",""wHBQ4VsQaic"",8.1,10979,0.571002920288,0.499705884989,0.652558565211,0.541665127525"
"80,""tt0112471"",215,""Before Sunrise"",""0000000100000010000"",1995,""105 min"",""MV5BMTQyMTM3MTQxMl5BMl5BanBnXkFtZTcwMDAzNjQ4Mg@@._V1_SX300.jpg"",""9v6X-Dytlko"",8.1,175073,0.761034920622,0.555735956055,0.685873376514,0.522524833881"
"81,""tt0112508"",216,""Billy Madison"",""0000100000000000000"",1995,""89 min"",""MV5BMTgwNDg1NjUxN15BMl5BanBnXkFtZTgwOTg0NzQxMTE@._V1_SX300.jpg"",""ePHDaKdQqYo"",6.4,102246,0.77118252261,0.616857242285,0.591626005596,0.547532024418"
"82,""tt0112438"",217,""The Babysitter"",""0000000100000000100"",1995,""90 min"",""MV5BMTI4OTYwMTY4MV5BMl5BanBnXkFtZTYwNjIwMzk5._V1_SX300.jpg"",""Rt-OAyTcd_Q"",4.2,3309,0.534639911642,0.675364218368,0.580650945615,0.69746928847"
"83,""tt0112571"",218,""Boys on the Side"",""0000100100000000000"",1995,""115 min"",""MV5BMTQzNzg4NDk3OF5BMl5BanBnXkFtZTcwMjcwNTgxMQ@@._V1_SX300.jpg"",""2rXXJpdwGnI"",6.4,9447,0.823837437795,0.701529432143,0.632992126008,0.712168662651"
"84,""tt0112757"",219,""The Cure"",""0000000100000000000"",1995,""97 min"",""MV5BNTcyMDM2NjkzOF5BMl5BanBnXkFtZTcwNzg0MDcyMQ@@._V1_SX300.jpg"",""N-5SyCpc87o"",7.7,7184,0.595700955538,0.502145229121,0.597088473515,0.519652231586"
"85,""tt0112679"",222,""Circle of Friends"",""0000000100000010000"",1995,""103 min"",""MV5BNTAwOTIwMjgxMV5BMl5BanBnXkFtZTcwNjQ0MDYyMQ@@._V1_SX300.jpg"",""6MANr3__teY"",6.6,6957,0.710903629437,0.520073382254,0.617404727137,0.536245874538"
"86,""tt0109445"",223,""Clerks"",""0000100000000000000"",1994,""92 min"",""MV5BMTg3MTkyMzA0NF5BMl5BanBnXkFtZTgwNTg0NDI1MDE@._V1_SX300.jpg"",""Mlfn5n-E2WE"",7.8,177869,0.697713988022,0.694481596257,0.588835161702,0.588658625632"
"87,""tt0112883"",224,""Don Juan DeMarco"",""0000100100000010000"",1994,""97 min"",""MV5BMTk0ODkzODY5OV5BMl5BanBnXkFtZTcwODAxMDYyMQ@@._V1_SX300.jpg"",""1FReVESsQYI"",6.8,40561,0.514925742707,0.685982508768,0.643078009904,0.609283508009"
"88,""tt0109635"",225,""Disclosure"",""0000000100000000100"",1994,""128 min"",""MV5BMTM2MTU3NTY1OF5BMl5BanBnXkFtZTcwMjQ3OTYxMQ@@._V1_SX300.jpg"",""RwvzXAKyQcs"",6,35512,0.704496349095,0.743731082742,0.631371624133,0.686741463323"
"89,""tt0109579"",229,""Death and the Maiden"",""0000000100000000100"",1994,""103 min"",""MV5BMTQyODAxOTUzN15BMl5BanBnXkFtZTcwNDE0ODMyMQ@@._V1_SX300.jpg"",""Cnnz214wwkI"",7.3,16985,0.673464889721,0.602136643924,0.0200538820512,0.525917974312"
"90,""tt0109686"",231,""Dumb & Dumber"",""0100100000000000000"",1994,""107 min"",""MV5BMTIzNDI5MTc0M15BMl5BanBnXkFtZTYwMjM5NDU5._V1_SX300.jpg"",""q0zGXZa2dG0"",7.3,281730,0.672051611767,0.604003032679,0.639281262353,0.563907422812"
"91,""tt0111797"",232,""Eat Drink Man Woman"",""0000100100000010000"",1994,""124 min"",""MV5BMTg5NTQxMjc5MV5BMl5BanBnXkFtZTcwMjYxODcxMQ@@._V1_SX300.jpg"",""Do0tf0zop70"",7.8,13520,0.607193227279,0.626788327628,0.741131820124,0.64500457491"
"92,""tt0109707"",235,""Ed Wood"",""0000100100000000000"",1994,""127 min"",""MV5BMjAzODM1MDMxN15BMl5BanBnXkFtZTgwOTgwNTc2MDE@._V1_SX300.jpg"",""sqFPKpzGimI"",7.9,140018,0.646767953142,0.614774007581,0.739536463278,0.58057160112"
"93,""tt0113097"",237,""Forget Paris"",""0000100000000010000"",1995,""101 min"",""MV5BMTQ4MjUyOTc2Ml5BMl5BanBnXkFtZTcwNzYzMDcxMQ@@._V1_SX300.jpg"",""G8ZHyJoKYnM"",6.4,9267,0.713287950201,0.834215823331,0.678389452135,0.695839306601"
"94,""tt0113028"",238,""Far from Home: The Adventures of Yellow Dog"",""0101000000000000000"",1995,""81 min"",""MV5BMjE3MTg2NDU0Ml5BMl5BanBnXkFtZTYwODM0NDk5._V1_SX300.jpg"",""fHbI2fohgeI"",6.4,1960,0.473420875574,0.690337375418,0.773916994482,0.799148655649"
"95,""tt0113089"",241,""Fluke"",""0001000100000000000"",1995,""96 min"",""MV5BMTg0NDU0NjY2OF5BMl5BanBnXkFtZTYwMjk1Nzk4._V1_SX300.jpg"",""4iQp5RXzvwk"",6.7,5037,0.54883258543,0.636285515227,0.598500548685,0.68010448257"
"96,""tt0113199"",243,""Gordy"",""0001100010000000000"",1995,""90 min"",""MV5BMTc3MDg1ODU4MF5BMl5BanBnXkFtZTcwNjQwMzkxMQ@@._V1_SX300.jpg"",""DBXaKW4STYk"",3.9,1561,0.604962216239,0.671297500936,0.826413267271,0.71968693058"
"97,""tt0109906"",245,""The Glass Shield"",""0000010100000000000"",1994,""109 min"",""MV5BMTQzNDUyMTg2N15BMl5BanBnXkFtZTcwMTQ5OTAzMQ@@._V1_SX300.jpg"",""8jRotbedSNY"",6.6,2753,0.594240342286,0.659479739617,0.594240342286,0.711151044406"
